-able	 V. -ble.
portada	 De puerta. 1. f. Ornato de arquitectura que se hace en las fachadas principales de los edificios suntuosos. 2. f. Primera plana de los libros impresos, en que figuran el título del libro, el nombre del autor y el lugar y año de la impresión. 3. f. En periódicos y revistas, primera página. Apareció la noticia en las portadas de los principales periódicos. 4. f. Cubierta delantera de un libro o de cualquier otra publicación o escrito. Diseñador de portadas. 5. f. Frontispicio o cara principal de cualquier cosa. 6. f. En el arte de la seda, división que se hace de cierto número de hilos para formar la urdimbre. Esta tela lleva ochenta portadas. 7. f. desus. Pieza de madera de sierra, de nueve o más pies de longitud, con una escuadría de 24 dedos de tabla por tres de canto.
portadera	De portar. 1. f. aportadera (‖ caja que se pone sobre el aparejo de las caballerías).
portadgo	1. m. desus. portazgo.
portadilla	Del dim. de portada. 1. f. tabla portadilla. 2. f. Impr. anteportada. 3. f. Impr. En el interior de una obra dividida en varias partes, hoja en que solo se pone el título de la parte inmediata siguiente.
portadista	1. m. y f. Persona que diseña portadas para una publicación.
portado	da  Del part. de portar. bien portado, da 1. loc. adj. Dicho de una persona: Que se trata y viste con decoro. mal portado, da 1. loc. adj. Dicho de una persona: Que se trata y viste sin decoro.
portador	ra Del lat. portātor, -ōris. 1. adj. Que lleva o trae algo de una parte a otra. U. t. c. s. 2. m. y f. Persona o animal que lleva en su cuerpo el germen de una enfermedad contagiosa. 3. m. Tabla redonda con un borde y un mango en medio para cogerla, sobre la cual se llevan platos de comida u otra cosa. 4. m. Com. Tenedor de efectos públicos o valores comerciales que no son nominativos, sino transmisibles sin endoso, por estar emitidos a favor de quienquiera que sea poseedor de ellos. cheque al portador onda portadora título al portador
portaequipajes	Tb. portaequipaje. 1. m. maletero (‖ lugar para el equipaje en los vehículos). 2. m. Soporte que se coloca en el techo de un vehículo para llevar maletas y otros bultos.
portaeronaves	 V. portaaeronaves.
portaestandarte	1. m. Oficial destinado a llevar el estandarte de un regimiento de caballería.
portafirmas	1. m. Carpeta en la que se ponen los documentos que ya están listos para ser firmados.
portafolio	Tb. portafolios. Del fr. portefeuille. 1. m. Cartera de mano para llevar libros, papeles, etc.
portafotos	1. m. portarretratos.
portafusil	1. m. Correa que pasa por dos anillos que tienen el fusil y otras armas de fuego semejantes y sirve para echarlas a la espalda, dejándolas colgadas del hombro.
portagayola	a portagayola De la loc. port. a porta gaiola; literalmente 'a puerta [del] toril'. 1. loc. adv. Taurom. Dicho de recibir al toro cuando sale al ruedo: En la puerta del toril, generalmente de rodillas.
portaguión	1. m. En los antiguos regimientos de dragones, oficial destinado a llevar el guion.
portahelicópteros	1. m. Buque destinado al transporte, despegue y aterrizaje de helicópteros.
portaherramientas	1. m. En las máquinas de labrar metales, pieza que sujeta la herramienta.
portainjerto	1. m. Planta que recibe un injerto de otra.
portaje	1. m. Derechos que se pagan por pasar por un sitio. 2. m. desus. puerto.
portal	De puerta. 1. m. Zaguán o primera pieza de la casa, por donde se entra a las demás, y en la cual está la puerta principal. 2. m. En una casa de vecinos, pieza inmediata a la puerta de entrada que sirve de paso para acceder a las distintas viviendas. 3. m. soportal (‖ espacio cubierto). 4. m. Pórtico de un templo o de un edificio suntuoso. 5. m. Puerta de la ciudad. 6. m. nacimiento (‖ representación del de Jesucristo). 7. m. Inform. Espacio de una red informática que ofrece, de forma sencilla e integrada, acceso a recursos y servicios.
portalada	De portal. 1. f. Portada, de uno o más huecos, comúnmente monumental, situada en el muro de cerramiento, y que da acceso al patio en que tienen su portal las casas señoriales.
portalero	De portal. 1. m. Guarda que estaba a la entrada de una población para registrar los géneros que entraban y por los que se tenía que pagar derechos.
portaleña	De portal. 1. f. Mar. Cañonera, tronera, portañola.
portalibros	1. m. Correas, con tablas o sin ellas, para llevar libros y cuadernos.
portaligas	1. m. liguero (‖ prenda interior para sujetar las medias).
portalira	1. m. y f. poeta.
portallanta	1. m. Ec., Méx. y Nic. Soporte que se ajusta a la carrocería de un automóvil para llevar la rueda de repuesto.
portalámparas	Tb. portalámpara. 1. m. Parte metálica destinada a recibir el casquillo de la bombilla y asegurar la conexión de la lámpara con el circuito eléctrico.
portalápiz	1. m. Estuche o tubo de metal para resguardar la punta afilada de los lápices.
portalón	Del aum. de portal. 1. m. Puerta grande que hay en los palacios antiguos y cierra no la casa, sino un patio descubierto. 2. m. Mar. Abertura a manera de puerta, hecha en el costado del buque y que sirve para la entrada y salida de personas y cosas.
portamaletas	1. m. maletero (‖ lugar para el equipaje en los vehículos).
portamantas	1. m. Par de correas enlazadas por un travesaño de cuero o metal, con las que se sujetan y llevan a la mano las mantas o abrigos para viaje.
portamanteo	1. m. manga (‖ especie de maleta abierta por los extremos).
portaminas	1. m. Instrumento de metal, madera o plástico, que contiene minas de recambio y se utiliza como lápiz.
portamira	1. m. y f. Topogr. Persona que en los trabajos topográficos de nivelación conduce la mira o regla graduada.
portamisiles	1. adj. Dicho de un vehículo de combate: Armado con misiles. U. t. c. s. m.
portamonedas	1. m. Bolsa pequeña o cartera, comúnmente con cierre, para llevar dinero a mano.
portanario	Del lat. mediev. portanarius 'portero', der. del lat. porta 'puerta'; cf. gr. πυλωρός pylōrós 'portero' y 'píloro'. 1. m. Anat. píloro.
portante	De portar y -nte. 1. adj. Que porta. U. t. c. s. 2. adj. Dicho de un cuadrúpedo: Que ambla. U. m. c. s. 3. adj. Dicho del modo de andar de un cuadrúpedo: Que es de ambladura. Estilo portante. 4. m. ambladura. 5. m. Andares y piernas de las personas. coger el portante 1. loc. verb. coloq. tomar el portante. dar el portante a alguien 1. loc. verb. coloq. Despedirlo. de portante 1. loc. adv. A paso ligero, deprisa. tomar alguien un portante 1. loc. verb. tomar un paso. tomar el portante 1. loc. verb. coloq. Irse, marcharse.
portantillo	Del dim. de portante. 1. m. pasitrote.
portanuevas	1. m. y f. Persona que trae o da noticias.
portaobjetos	Tb. portaobjeto. 1. m. Pieza del microscopio, o lámina adicional en que se coloca el objeto para observarlo.
portapapeles	1. m. Inform. Depósito temporal en la memoria de una computadora donde se coloca información para utilizarla posteriormente.
portapaz	1. m. o f. Placa de metal, madera, marfil, etc., con alguna imagen o signos en relieve que, en las misas solemnes, se besaba en la ceremonia de la paz.
portapliegos	1. m. Cartera pendiente del hombro o de la cintura, que sirve para llevar pliegos.
portaplumas	1. m. Mango en que se coloca la pluma metálica para escribir o dibujar.
portar	 Del lat. portāre. 1. tr. Tener algo consigo o sobre sí. 2. tr. Llevar, conducir algo de una parte a otra. 3. tr. Dicho de un perro: Llevar al cazador la pieza cobrada, herida o muerta. 4. prnl. Actuar o proceder de una manera determinada. Se portó muy fríamente conmigo. 5. prnl. coloq. Tener una actuación especialmente buena en una determinada situación. 6. prnl. desus. Dicho de una persona: Mostrar decencia y lucimiento en lo referido al ornato personal y de la casa. 7. intr. Mar. Dicho de una vela o de un aparejo: Ir en viento. portar bien 1. loc. verb. Mar. Dicho de una vela: No formar bolsos ni arrugas y trabajar por igual al recibir el viento, quedando perfectamente llena.
portarretratos	Tb. portarretrato. 1. m. Marco portátil de fotografías con un pie al dorso sobre el que se apoya para mantenerse levantado.
portarrollos	1. m. Utensilio, generalmente de cocina o de baño, que sirve para sostener un rollo de papel, de modo que se desenrolle con facilidad.
portavaso	Tb. portavasos, Hond., Méx., Pan. y Perú. 1. m. Bol., Cuba, Ec., Méx., Nic., Pan., Perú y Ven. posavasos.
portaventanero	1. m. Carpintero que hace puertas y ventanas.
portaviandas	1. m. fiambrera (‖ conjunto de cacerolas sobrepuestas).
portaviones	 V. portaaviones.
portavocía	1. f. Cargo o condición de portavoz. Se le ha ofrecido la portavocía de su grupo parlamentario.
portavoz	1. m. y f. Persona que está autorizada para hablar en nombre y representación de un grupo o de cualquier institución o entidad. 2. m. y f. Persona autorizada para comunicar a la opinión pública lo que piensan acerca de un asunto determinado las instituciones políticas o sus dirigentes. 3. m. Mil. Bocina que usan los jefes para mandar las maniobras al tender los puentes militares.
portazgar	 1. tr. Cobrar el portazgo.
portazgo	 Del desus. portadgo, y este del b. lat. portaticum, der. del lat. porta 'puerta'. 1. m. Derechos que se pagan por pasar por un sitio determinado de un camino. 2. m. Edificio donde se cobra el portazgo.
portazguero	1. m. Encargado de cobrar el portazgo.
portazo	1. m. Golpe recio que se da con la puerta. 2. m. Golpe que da la puerta movida por el viento. 3. m. Acción de cerrar la puerta para desairar a alguien y despreciarlo.
portañola	Del dim. de porta. 1. f. Mar. Cañonera, tronera.
portañuela	Del dim. de porta. 1. f. Tira de tela con que se tapa la bragueta o abertura que tienen los calzones o pantalones por delante.
porte	 De portar. 1. m. Acción de portear^1. 2. m. Cantidad que se da o se paga por hacer transportar algo de un lugar a otro. 3. m. Presencia o aspecto de una persona. 4. m. Tamaño o dimensiones de algo. Árboles de gran porte. 5. m. Mayor o menor decencia o lucimiento con que se presenta o se trata. 6. m. Modo de gobernarse y portarse en conducta y acciones. 7. m. Calidad, nobleza o lustre de la sangre. 8. m. Cabida o capacidad de algo. carta de porte
porteador	ra 1. adj. Que portea o tiene por oficio portear. U. t. c. s.
portear^1	 1. tr. Conducir o llevar algo de una parte a otra por el porte o precio convenido o señalado. 2. prnl. Dicho especialmente de un ave pasajera: Pasarse de una parte a otra.
portear^2	 1. intr. Dicho de las puertas y ventanas: Dar golpes. 2. intr. Dar golpes con puertas y ventanas.
portegado	Der. del lat. portĭcus 'atrio'. 1. m. coloq. Ál. Tejavana, cobertizo. 2. m. desus. Pórtico, atrio.
portento	Del lat. portentus. 1. m. Cosa, acción o suceso singular que por su extrañeza o novedad causa admiración o terror. 2. m. Persona admirable por alguna condición.
portentosamente	1. adv. De modo portentoso.
portentoso	sa Del lat. portentōsus. 1. adj. Singular, extraño y que por su novedad causa admiración, terror o pasmo.
porteo	 1. m. Acción y efecto de portear.
porteril	1. adj. Perteneciente o relativo al portero o a la portería. Tabuco porteril.
portero	ra Del lat. tardío portarius. 1. m. y f. Empleado que se encarga de la vigilancia de la puerta de un edificio o una empresa y que además puede tener otras funciones. 2. m. y f. Jugador que en algunos deportes defiende la portería de su bando. 3. adj. Dicho de un ladrillo: Que no se ha cocido bastante. portero automático 1. m. Mecanismo eléctrico, provisto de un interfono, que sirve para abrir los portales en las casas de vecinos desde el interior de las viviendas. portero de cadenas 1. m. Encargado de vigilar la entrada exterior de palacio y descorrer las cadenas para franquear el acceso a las personas que tenían derecho de apearse ante la puerta. portero de damas 1. m. Encargado de guardar la entrada de las habitaciones que ocupaban las damas del servicio palatino. portero de estrados 1. m. portero que servía en un tribunal o consejo para que el público y los asistentes a las juntas o actos guardasen respeto y compostura. portero de golpe 1. m. portero que en la cárcel cuida de una segunda puerta, que suele tener pestillo de ruido para notar cuándo se mueve. portero de sala 1. m. portero que en palacio presta servicio en los aposentos principales. portero de vara 1. m. Antiguo oficial de justicia, de rango inferior al alguacil. portero eléctrico 1. m. portero automático.
portería^1	De portero. 1. f. Pabellón, garita o pieza del zaguán de los edificios o establecimientos públicos o particulares, desde donde el portero vigila la entrada y salida de las personas, vehículos, etc. 2. f. Vivienda del portero. 3. f. Empleo u oficio de portero. 4. f. En el juego del fútbol y otros semejantes, marco rectangular formado por dos postes y un larguero, por el cual ha de entrar el balón o la pelota para marcar tantos. portería de damas 1. f. En los palacios y algunas casas importantes, puerta que se destinaba a las mujeres.
portería^2	1. f. Mar. Conjunto de todas las portas de un buque.
portezuela	1. f. Puerta de un vehículo, especialmente la de un automóvil o un carruaje. 2. f. Entre sastres, cartera, golpe.
portezuelo	1. m. dim. de puerto.
porteño	ña 1. adj. Natural de alguna de las ciudades de España y América en las que hay puerto. U. t. c. s. 2. adj. Perteneciente o relativo a los porteños o a sus ciudades. 3. adj. Natural de Buenos Aires, capital de la Argentina. U. t. c. s. 4. adj. Natural de Valparaíso, ciudad de Chile. U. t. c. s. 5. adj. Natural de Puerto Carreño, ciudad de Colombia. U. t. c. s. 6. adj. Natural de Puerto Cabello o de Puerto La Cruz, ciudades de Venezuela. U. t. c. s. 7. adj. Perteneciente o relativo a Buenos Aires, a Valparaíso, a Puerto Carreño, a Puerto Cabello, a Puerto La Cruz, o a los porteños. 8. adj. puntarenense^2. Apl. a pers., u. t. c. s.
porticado	da 1. adj. Dicho de una construcción: Que tiene soportales.
portichuelo	1. m. Puerto bajo en las estribaciones de una montaña.
portier	Del fr. portière. 1. m. Cortina de tejido grueso que se pone ante las puertas de habitaciones que dan a los pasillos, escaleras y otras partes menos interiores de las casas.
portilla	De puerta. 1. f. Paso, en los cerramientos de las fincas rústicas, para carros, ganados o peatones, que tiene a veces barrera o palos con que interceptar el tránsito. 2. f. Mar. Cada una de las aberturas pequeñas y de forma varia que se hacen en los costados de los buques, las cuales, cerradas con un cristal grueso, sirven para dar claridad y ventilación a pañoles, alojamientos, etc.
portillera	1. f. Paso de entrada en las fincas rústicas.
portillo	De puerta. 1. m. Abertura en una muralla, pared o tapia. 2. m. Postigo o puerta chica en otra mayor. 3. m. Camino angosto entre dos alturas. 4. m. Paso o entrada que se abre en un muro, vallado, etc. 5. m. Mella o hueco que queda en una cosa quebrada, como en un plato, en una escudilla, etc. 6. m. Entrada o salida que, para la consecución de algo, queda abierta por falta de cuidado o de medios. 7. m. En algunas poblaciones, puerta no principal por donde no podía entrar cosa que hubiera de adeudar derechos. diezmar a portillo 1. loc. verb. Diezmar el ganado lanar o cabrío al tiempo de desfilar uno a uno por una puerta estrecha o portillo.
portor	ra Del lat. portāre 'portar', 'soportar' y -or^2. 1. m. y f. En gimnasia, y sobre todo en el mundo del circo, persona que sostiene o recibe a los compañeros que realizan acrobacias y equilibrios.
portorriqueño	ña 1. adj. puertorriqueño. Apl. a pers., u. t. c. s.
portovejense	1. adj. Natural de Portoviejo, ciudad del Ecuador. U. t. c. s. 2. adj. Perteneciente o relativo a Portoviejo o a los portovejenses.
portrecho	Del lat. protractus. 1. m. desus. Espacio, distancia.
portuario	ria 1. adj. Perteneciente o relativo al puerto de mar o a las obras de este.
portuense	Del lat. portuensis 'del puerto'. 1. adj. Natural del Puerto de Santa María, localidad española de la provincia de Cádiz, o de alguna otra de las poblaciones denominadas Puerto. U. t. c. s. 2. adj. Perteneciente o relativo a alguna de las poblaciones denominadas Puerto, como Puerto de Santa María, o a los portuenses. 3. adj. Del puerto de Ostia, en Italia.
portugalujo	ja 1. adj. Natural de Portugalete, villa de la provincia de Vizcaya, en España. U. t. c. s. 2. adj. Perteneciente o relativo a Portugalete o a los portugalujos.
portugalés	sa Del lat. Portucalensis. 1. adj. Perteneciente o relativo a Portugal, país de Europa. 2. adj. Partidario de la lucha contra los bejaranos en Badajoz en tiempo de Sancho IV de Castilla. Apl. a pers., u. t. c. s. 3. adj. desus. Natural de Portugal.
portuguesada	1. f. Dicho o hecho en que se exagera la importancia de algo.
portugueseño	ña 1. adj. Natural de Portuguesa, estado de Venezuela. U. t. c. s. 2. adj. Perteneciente o relativo a Portuguesa o a los portugueseños.
portuguesismo	1. m. Giro o modo de hablar propio de la lengua portuguesa. 2. m. Vocablo o giro de la lengua portuguesa empleado en otra. 3. m. Empleo de vocablos o giros de la lengua portuguesa en distinto idioma.
portugués	sa Del port. portugués. 1. adj. Natural de Portugal, país de Europa. U. t. c. s. 2. adj. Perteneciente o relativo a Portugal o a los portugueses. 3. adj. Perteneciente o relativo al portugués (‖ lengua). Léxico portugués. 4. m. Lengua romance, derivada del gallegoportugués, que se habla en Portugal, Brasil, Angola, Mozambique y en otros antiguos dominios portugueses. carabela portuguesa
portulacáceo	a Del lat. portulāca 'verdolaga'. 1. adj. Bot. Dicho de una planta: Del grupo de las angiospermas dicotiledóneas, herbácea o fruticosa, con hojas carnosas provistas de estípulas que a veces están transformadas en manojitos de pelos, flores hermafroditas tetrámeras o pentámeras y fruto en cápsula; p. ej., la verdolaga. U. t. c. s. f., en pl. como taxón.
portulano	Del it. portolano, y este der. del lat. portus 'puerto'. 1. m. Colección de planos de varios puertos, encuadernada en forma de atlas.
portátil	Del lat. mediev. portatilis, y este del lat. portātus, part. pas. de portāre 'llevar, transportar', e -ĭlis '-ble'. 1. adj. Movible y fácil de transportar. 2. m. ordenador portátil. computador portátil computadora portátil
portón	1. m. Puerta que separa el zaguán del resto de la casa. 2. m. En un automóvil, puerta de acceso al maletero que incluye la luneta posterior. 3. m. Taurom. Puerta del toril que da a la plaza. 4. m. Ven. Puerta principal de una casa o de un edificio.
porvenir	1. m. Suceso o tiempo futuro. 2. m. Situación futura en la vida de una persona, de una empresa, etc.
porvenireño	ña 1. adj. Natural de Porvenir, capital de la provincia de Tierra del Fuego, en Chile. U. t. c. s. 2. adj. Perteneciente o relativo a Porvenir o a los porvenireños.
porvenirista	1. adj. Perteneciente o relativo al porvenir. 2. adj. Que muestra un gran interés y preocupación por el porvenir. Sociedad porvenirista. Apl. a pers., u. t. c. s. 3. adj. Dicho de una persona: Que escruta o predice el porvenir. U. t. c. s.
porvida	1. m. desus. Juramento o imprecación que se hace jurando por la vida de Dios o de una persona.
porífero	1. adj. Zool. espongiario. U. t. c. s. m., en pl. como taxón.
pos	 Del lat. post 'después'. 1. m. desus. postre. en pos de 1. loc. prepos. tras (‖ después de, a continuación de). 2. loc. prepos. tras (‖ en busca o seguimiento de).
pos-	Tb. post- en algunas voces. Del lat. post-. 1. pref. Significa 'detrás de' o 'después de'. Posbélico o postbélico, posponer o postponer, posimpresionismo o postimpresionismo, postónico, postsocialismo.
posa	 De posar^1. 1. f. Clamor de campanas por los difuntos. 2. f. Parada que hace el clero cuando se lleva a enterrar un cadáver, para cantar el responso. 3. f. desus. Descanso, quietud, reposo. 4. f. desus. pausa. 5. f. pl. p. us. nalgas (‖ porciones carnosas y redondeadas).
posada	 De posar^1. 1. f. Establecimiento económico de hospedaje que solía servir de aposento destinado a albergar viajeros, en ocasiones con sus carros, caballerías, etc. 2. f. Establecimiento hotelero moderno que evoca, al menos en su nombre, las antiguas posadas. 3. f. Alojamiento que se da a alguien. 4. f. Precio del hospedaje. 5. f. Lugar donde acampaba la tropa. 6. f. Estuche compuesto de cuchara, tenedor y cuchillo, que se llevaba para ir de camino. 7. f. desus. Casa propia de quien la habita. 8. f. desus. En palacio y en las casas de los señores, cuarto destinado a la habitación de la servidumbre. posada de colmenas 1. f. asiento de colmenas. posada franca 1. f. desus. Hospedaje que se daba de forma gratuita. hacer posada 1. loc. verb. U. para convidar cortesanamente a comer en su casa a alguien que pasa por ella. más acá hay posada 1. expr. coloq. U. para motejar a quien exagera o sube de punto algo. casa de posada casa de posadas
posaderas	 De posar^1. 1. f. pl. nalgas (‖ porciones carnosas y redondeadas).
posadero	ra 1. m. y f. Persona que tiene casa de posadas y hospeda en ella a quienes se lo pagan. 2. m. Especie de asiento que se hace de espadaña o de soga de esparto, de unos 40 cm de alto, de hechura cilíndrica y de que se sirven comúnmente en tierra de Toledo, en la Mancha y en Andalucía, donde se hace también de corcho. 3. m. sieso. pendón posadero
posadeño	ña 1. adj. Natural de Posadas, capital de la provincia de Misiones, en la Argentina. U. t. c. s. 2. adj. Perteneciente o relativo a Posadas o a los posadeños.
posado	da  Del part. de posar^1. 1. adj. desus. Difunto, muerto. Era u. t. c. s.
posador	ra De posar^1 y -dor. 1. adj. desus. Que tenía por oficio aposentar u hospedar.
posante	De posar^1 y -nte. 1. adj. Que posa. Apl. a pers., u. t. c. s. 2. adj. Mar. Dicho de un buque: Quieto y descansado, cuyos movimientos y balances no son violentos.
posapié	1. m. Objeto o pieza para apoyar el pie.
posar^1	 Del lat. tardío pausāre 'cesar', 'detener', 'reposar'; cf. pausar. 1. tr. Soltar la carga que se trae a cuestas, para descansar o tomar aliento. 2. tr. Poner suavemente. 3. intr. Alojarse u hospedarse en una posada o casa particular. 4. intr. Descansar, asentarse o reposar. 5. intr. Dicho de un ave u otro animal que vuela, o de un avión o un aparato astronáutico: Situarse en un lugar o sobre una cosa después de haber volado. U. t. c. prnl. 6. intr. desus. Morar, habitar. 7. prnl. Dicho de las partículas sólidas que están en suspensión en un líquido: Depositarse en el fondo. 8. prnl. Dicho del polvo: Caer sobre las cosas o en el suelo.
posar^2	 Del fr. poser. 1. intr. Permanecer en determinada postura para retratarse o para servir de modelo a un pintor o escultor.
posavasos	1. m. Soporte utilizado para que los vasos de bebida no dejen huella en la mesa.
posaverga	1. f. Mar. Palo largo que llevaban a prevención los buques, para reemplazar o componer un mastelero o verga que les faltase o se rompiese, y que mientras tanto se amarraba sobre la borda, sirviendo entonces de resguardo para que la gente no cayese al mar.
posbalance	Tb. postbalance. 1. adj. Dicho de una venta u otra acción comercial similar: Realizada con gran rebaja del precio de los productos tras el cierre del balance anual. U. t. c. s. m.
posbélico	ca Tb. postbélico. 1. adj. Posterior a una guerra.
posca	Del lat. posca. 1. f. Mezcla de agua y vinagre que empleaban los romanos como refresco y para otros usos.
posclásico	ca Tb. postclásico. 1. adj. De época posterior a la clásica. Cerámica, literatura posclásica.
poscombustión	Tb. postcombustión. 1. f. Combustión suplementaria que en los turborreactores permite aumentar el rendimiento aprovechando el oxígeno contenido en los gases quemados.
poscomunismo	Tb. postcomunismo. De pos- y comunismo. 1. m. Período histórico que comienza en la década de 1980 con la caída de la mayoría de los regímenes comunistas de Europa. 2. m. Comunismo reformado del poscomunismo. Disidencias en el poscomunismo.
poscomunista	Tb. postcomunista. 1. adj. Perteneciente o relativo al poscomunismo. La Rusia poscomunista. 2. adj. Partidario del poscomunismo (‖ comunismo reformado). Apl. a pers., u. t. c. s. Los poscomunistas vuelven al poder.
poscomunión	Tb. postcomunión. Del lat. mediev. postcommunio, -onis. 1. f. Oración que se dice en la misa después de la comunión.
posconciliar	Tb. postconciliar. 1. adj. Perteneciente o relativo al posconcilio. 2. adj. Partidario del posconcilio (‖ renovación de la Iglesia católica). Curas posconciliares.
posconcilio	Tb. postconcilio. 1. m. Época posterior a un concilio, especialmente la que siguió al Concilio Vaticano II. 2. m. Renovación o modernización experimentada por la Iglesia católica como consecuencia del Concilio Vaticano II.
posdata	Tb. postdata. De pos- y data^1, porque la data se ponía al final de la carta. 1. f. Aquello que se añade a una carta ya concluida y firmada.
posdiluviano	na Tb. postdiluviano. De pos- y diluviano. 1. adj. Posterior al diluvio universal.
posdorsal	Tb. postdorsal. De pos- y dorsal. 1. adj. Fon. Dicho de una consonante: En cuya articulación interviene la parte posterior del dorso de la lengua. U. t. c. s. f.
posdorso	Tb. postdorso. 1. m. Fon. Parte posterior del dorso de la lengua.
pose	 Del fr. pose. 1. f. Postura poco natural, y, por ext., afectación en la manera de hablar y comportarse.
poseedor	ra 1. adj. Que posee. U. t. c. s. poseedor, ra de buena fe 1. m. y f. Der. Persona que cree poseer debidamente, ignorando los vicios de su adquisición. tercer, ra poseedor, ra 1. m. y f. Der. Adquirente del dominio o de otros derechos reales sobre un bien embargado o hipotecado, a quien, por quedar sujeto a las consecuencias del proceso ejecutivo, se atribuye la facultad de liberar dicho bien satisfaciendo la deuda del ejecutante.
poseer	 Del lat. possidēre. Conjug. c. leer. 1. tr. Dicho de una persona: Tener en su poder algo. 2. tr. Dicho de una persona o de una cosa: Tener algo en su interior o formando parte de ellas. Posee cualidades innatas para la música. 3. tr. Dicho de una cosa: Tener una influencia poderosa sobre alguien. La poseía el ansia de venganza. 4. tr. Dicho de un espíritu maligno: Tener dominado o sometido a su voluntad a alguien. 5. tr. Saber suficientemente algo, como una doctrina, un idioma, etc. 6. tr. Dicho de una persona: Tener relación carnal con otra. 7. tr. Der. Tener una cosa o ejercer una facultad con independencia de que se tenga o no derecho a ella. 8. prnl. Dicho de una persona: Dominarse a sí misma, refrenar sus ímpetus y pasiones. estar poseído alguien 1. loc. verb. Estar penetrado de una idea o pasión.
posentador	ra 1. adj. desus. aposentador. Era u. m. c. s.
posero	ra De pose. 1. adj. Chile. Dicho de una persona: Que actúa de forma poco auténtica o natural. U. t. c. s.
posesional	1. adj. Perteneciente o relativo a la posesión o que la incluye. Acto posesional.
posesionar	 1. tr. Poner en posesión de algo. U. m. c. prnl. 2. prnl. Adueñarse de algo o de alguien, en ocasiones de un modo indebido. Se posesionaron de los bienes de los vencidos.
posesionero	1. m. Ganadero que ha adquirido la posesión de los pastos arrendados.
posesivo	va Del lat. possessīvus. 1. adj. Perteneciente o relativo a la posesión. 2. adj. Dominante y absorbente en la relación con otra u otras personas. Un amante posesivo. Una madre posesiva. 3. adj. Gram. Que expresa posesión. La interpretación posesiva. Una formación posesiva. 4. adj. Gram. Propio o característico de los posesivos. Uso posesivo del artículo. 5. m. Gram. adjetivo posesivo (‖ adjetivo que indica pertenencia). 6. m. Gram. determinante posesivo. 7. m. Gram. pronombre posesivo. dativo posesivo
posesión	Del lat. possessio, -ōnis. 1. f. Acto de poseer o tener una cosa corporal con ánimo de conservarla para sí o para otro. 2. f. Acto de poseer cosas incorpóreas, aunque en rigor no se posean. 3. f. Apoderamiento del espíritu del hombre por otro espíritu que obra en él como agente interno y unido con él. 4. f. Cosa poseída, y especialmente fincas rústicas. Antonio tiene muchas posesiones. 5. f. Territorio situado fuera de las fronteras de una nación, pero que le pertenece por convenio, ocupación o conquista. U. m. en pl. Las posesiones de ultramar. 6. f. Der. Situación de poder de hecho sobre las cosas o los derechos, a la que se otorga una protección jurídica provisional que no prejuzga su titularidad. posesión civil 1. f. Der. posesión que se tiene sobre una cosa o un derecho con ánimo de dueño o de titular legítimo, y que permite adquirir la propiedad o titularidad por su ejercicio prolongado en el tiempo mediante usucapión. posesión civilísima 1. f. Der. posesión de carácter ficticio o presunto, atribuida por ministerio de la ley, y que no se fundamenta en la aprehensión material de las cosas o en el ejercicio de los derechos poseídos. En particular, la que corresponde al heredero sobre los bienes hereditarios desde la muerte del causante hasta el momento de la aceptación de la herencia. posesión de buena fe 1. f. Der. posesión que resulta de una adquisición que el poseedor estima legítima, ignorando los vicios que la invalidan. posesión de estado 1. f. Der. Apariencia de la titularidad de un estado civil, fundada en el ejercicio público y continuado de las facultades correspondientes al mismo. posesión de mala fe 1. f. Der. posesión que se tiene con conciencia de los vicios de su adquisición. posesión inmemorial 1. f. Der. posesión cuya duración excede de la memoria humana. posesión natural 1. f. Der. posesión que no se tiene con ánimo de dueño o de titular legítimo de la cosa o derecho poseído. amparar a alguien en la posesión 1. loc. verb. Der. Mantenerlo en la que tiene. dar posesión a alguien 1. loc. verb. Der. Poner real y efectivamente a su disposición la cosa corporal, entregarle u otorgar un instrumento como símbolo de la tradición real, que se excusa, o bien dar señal con algún acto u objeto de transferirle derechos o cosas incorporales. recobrar, o retener, alguien la posesión 1. locs. verbs. Der. Ser amparado judicialmente, por vía sumaria de interdicto, ante el peligro inminente de verse turbado en el goce de una cosa o contra el despojo consumado de ella. tomar posesión 1. loc. verb. Hacerse cargo de lo que se va a poseer, en ejercicio del derecho, uso o libre disposición. acto de posesión
poseso	sa Del part. irreg. de poseer; lat. possessus. 1. adj. Dicho de una persona: Que padece posesión o apoderamiento de algún espíritu. U. t. c. s.
posesor	ra Del lat. possessor, -ōris. 1. adj. Dicho de una persona: Que posee. U. t. c. s.
posesorio	ria Del lat. tardío possessorius. 1. adj. Perteneciente o relativo a la posesión, o que la denota. Interdicto, acto posesorio. juicio posesorio
poseído	da  Del part. de poseer. 1. adj. poseso. U. t. c. s. 2. adj. Dicho de una persona: Que ejecuta acciones furiosas o malas. U. t. c. s.
posfecha	1. f. p. us. Fecha posterior a la verdadera.
posfijo	ja Tb. postfijo. De pos- y fijo^2. 1. adj. sufijo. U. m. c. s. m.
posfranquismo	Tb. postfranquismo. 1. m. Período histórico inmediatamente posterior al gobierno del general Franco.
posfranquista	Tb. postfranquista. 1. adj. Perteneciente o relativo al posfranquismo. La izquierda posfranquista.
posglosador	1. m. Der. Comentarista medieval del derecho romano, posterior al glosador Acursio. U. m. en pl.
